,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
0,A,16.78,2008-12-19,248323864.00000003,A,29.6,2009-12-21,93198560.0
1,A,29.6,2009-12-21,93198560.0,A,40.65,2010-12-21,146961945.0
2,A,40.1,2010-12-20,161350370.0,A,33.99,2011-12-20,124797684.0
3,A,33.73,2011-12-16,105332044.0,A,39.98,2012-12-17,138114908.0
4,A,40.58,2012-12-20,154557046.0,A,57.47,2013-12-20,169766380.0
5,A,57.57,2013-12-19,108991524.0,A,40.9,2014-12-19,152816142.4
6,A,41.38,2014-12-22,65803344.98,A,41.01,2015-12-22,67386483.72
7,A,40.51,2015-12-21,70291291.09,A,45.75,2016-12-20,71020744.5
8,A,45.75,2016-12-20,71020744.5,A,67.81,2017-12-20,92424826.57
9,A,67.51,2017-12-21,100936631.36,A,65.22,2018-12-21,305431782.0
10,A,66.33,2018-12-20,235326502.62,A,84.94,2019-12-20,194325137.42
11,A,83.95,2019-12-19,142379703.70000002,A,119.23,2020-12-18,466401648.63
14,AA,37.87,2017-02-03,198560173.35,AA,48.61,2018-02-05,187720153.6
15,AA,47.42,2018-02-26,168519062.1,AA,30.7,2019-02-26,114315502.4
16,AA,30.7,2019-02-26,114315502.4,AA,14.64,2020-02-26,70216470.48
17,AA,16.01,2020-02-21,88506770.18,AA,23.46,2021-02-22,219047756.04
20,AAL,5.65,2010-01-20,201296019.1,AAL,9.98,2011-01-20,194291608.06
21,AAL,10.15,2011-02-16,131560869.3,AAL,8.85,2012-02-16,158199086.54999998
22,AAL,9.05,2012-02-15,126292388.0,AAL,14.94,2013-02-14,1276905380.94
23,AAL,15.96,2013-04-16,447487597.2000001,AAL,34.17,2014-04-16,534220614.0
24,AAL,36.11,2014-02-28,288511678.0,AAL,48.2,2015-03-02,553475828.2
25,AAL,51.3,2015-02-25,491301382.5,AAL,40.76,2016-02-25,282729172.12
26,AAL,40.02,2016-02-24,244269793.86,AAL,46.42,2017-02-23,243565043.7
27,AAL,46.5,2017-02-22,269683539.0,AAL,53.24,2018-02-22,231794182.4
28,AAL,51.96,2018-02-21,278943674.76,AAL,34.98,2019-02-21,206408025.12
29,AAL,35.75,2019-02-25,389886854.5,AAL,25.62,2020-02-25,571246039.98
30,AAL,28.84,2020-02-19,242285561.0,AAL,17.83,2021-02-18,469431342.42
32,AAMC,930.65,2014-02-20,89714660.0,AAMC,202.58,2015-02-20,431900.56
